
          epoch;     train_loss;       val_loss;             PA;         Recall;      Precision;             F1;     Train_Miou;       Val_Miou;          FWiou;
              1;        0.70496;         3.5022;        0.44337;        0.66231;        0.42133;        0.25635;         0.4185;        0.21268;        0.30646;
              2;        0.44241;        0.75809;        0.68978;         0.6778;        0.79196;        0.57867;        0.67699;        0.51975;        0.52366;
              3;        0.29668;        0.31465;        0.87672;        0.84247;        0.87331;        0.79393;        0.75189;        0.75076;        0.78029;
              4;        0.24299;        0.51881;         0.7913;        0.76674;        0.83755;        0.69742;        0.79114;        0.64244;        0.64576;
              5;        0.24726;        0.40529;        0.83032;        0.78975;        0.86386;        0.73516;        0.78559;        0.68972;        0.70576;
              6;        0.20611;        0.43364;        0.80629;        0.86341;        0.70837;        0.69317;        0.81735;        0.61152;        0.71725;
              7;        0.21769;        0.31066;        0.88957;        0.88687;        0.84604;        0.81927;        0.80892;        0.76326;        0.80556;
              8;        0.20751;         0.3099;        0.87573;         0.8386;        0.88965;        0.79316;        0.81703;        0.75285;        0.77609;
              9;        0.19569;        0.48356;        0.82984;        0.87349;        0.71577;        0.71244;        0.82548;        0.62749;        0.73521;
             10;        0.20119;          0.477;        0.77118;        0.75462;        0.78273;        0.66368;         0.8226;        0.59723;        0.62407;
             11;         0.2054;        0.31783;        0.88879;        0.84904;        0.90601;        0.81047;        0.81694;        0.77577;        0.79808;
             12;        0.20042;        0.27199;         0.8975;        0.88019;        0.87514;        0.82838;        0.81988;        0.78316;         0.8159;
             13;        0.17965;        0.24346;        0.90713;         0.8721;        0.91763;        0.83711;         0.8392;        0.80508;        0.82867;
             14;        0.17102;        0.30434;        0.89415;        0.90892;        0.82948;        0.82647;        0.84402;        0.76255;        0.81617;
             15;        0.16483;        0.19253;        0.93269;        0.91666;        0.91956;        0.88179;        0.85001;        0.84963;        0.87465;
             16;        0.17884;        0.77576;        0.71995;         0.7047;          0.819;        0.61206;        0.84008;        0.55545;        0.56006;
             17;         0.1813;        0.44856;        0.82309;        0.88565;        0.73433;         0.7213;        0.83821;        0.64143;        0.73722;
             18;        0.16525;        0.30333;        0.89624;        0.86355;        0.90349;        0.82456;         0.8497;        0.78907;        0.81121;
             19;        0.16291;        0.18089;        0.93036;        0.92195;        0.90505;        0.87975;        0.85185;        0.84202;        0.87171;
             20;        0.15664;        0.24368;        0.88842;        0.90247;        0.83626;        0.82358;        0.85474;        0.76183;        0.80629;
             21;        0.15216;        0.29133;        0.90462;        0.90388;        0.86842;        0.84485;        0.85874;        0.79458;        0.82922;
             22;        0.15314;        0.18311;        0.92882;        0.91189;        0.91501;        0.87479;         0.8593;        0.84128;        0.86821;
             23;        0.15229;        0.38886;        0.83935;        0.79354;        0.88433;        0.74382;        0.85966;        0.70309;        0.71959;
